,,,,,,,,
Sl. no.,Date,Adaptation Clinic Name,Village,Union,Problems Found (if any),Advice/ solution given,Point of Service,"Remarks 
(Next Follow up) "
871,20.02.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,02.03.2031
872,20.02.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,02.03.2032
873,20.02.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,02.03.2033
874,20.02.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,02.03.2034
875,20.02.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,02.03.2035
876,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
877,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
878,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
879,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
880,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
881,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
882,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
883,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
884,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
885,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
886,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
887,26.02.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Mobile Adaptation Clinic,08.03.2025
888,26.02.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Fruit fly Attack on Cucumber,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin,Adaptation clinic,12.03.2025
889,02.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Adaptation clinic,12.03.2025
890,03.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Adaptation clinic,12.03.2025
891,03.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Adaptation clinic,12.03.2025
892,03.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Field Visit,13.03.2024
893,03.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Cucumber cultivation Related issues,Suggested to apply judicious irrigation,Field Visit,13.03.2025
894,03.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Sunflower cultivation,Suggested to apply Irrigation and Flora,Field Visit,13.03.2025
895,04.03.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Sunflower cultivation,Suggested to apply Irrigation and Flora,Adaptation clinic,14.03.2025
896,04.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fruit fly Attack on Cucumber,Suggested to use Pheromone Trap and if attack is high apply Cypermethrin,Adaptation clinic,14.03.2025
897,04.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Watermelon growth not satisfactory,Suggested to apply Irrigation and Flora,Field Visit,14.03.2025
898,04.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Field Visit,14.03.2025
899,04.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Field Visit,14.03.2025
900,04.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Sunflower cultivation,"Suggested to apply Urea fertilizer,Irrigation, Fungicide and also suggested to spray flora",Field Visit,14.03.2025
901,06.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Root Rot Of Sunflower,Suggested to apply Mancer @2gm/L in the morning,Field Visit,16.03.2025
902,06.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower cultivation,Suggested to apply Irrigation and Flora,Adaptation clinic,16.03.2025
903,06.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Sunflower cultivation,Suggested to apply Irrigation and Flora,Adaptation clinic,16.03.2025
904,09.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Ground nut cultivation related,Suggested to weeding the field and apply irrigation,Field Visit,19.03.2025
905,09.03.2025,Nilganj Adaptation Clinic,Uttar daulatpur,Nilganj,Root Rot Of Sunflower,Suggested to apply Mancer @2gm/L in the morning,Adaptation clinic,19.03.2025
906,09.03.2025,Nilganj Adaptation Clinic,Adampur,Nilganj,Yellow stem borer attack on Rice,Suggested to apply Cartap+Fipronil @ 2ml/L at afternoon,Adaptation clinic,19.03.2025
907,11.03.2025,Nilganj Adaptation Clinic,Ghutabacha,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,21.03.2025
908,11.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Adaptation clinic,21.03.2025
909,11.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Adaptation clinic,21.03.2025
910,12.03.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Adaptation clinic,22.03.2025
911,12.03.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,22.03.2025
912,13.03.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,23.03.2025
913,13.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Fruit fly attack on Bottle gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin,Adaptation clinic,23.03.2025
914,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
915,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
916,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
917,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
918,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
919,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
920,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
921,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Maize Cultivation,Suggested to apply Urea and Irrigation,Mobile Adaptation Clinic,23.03.2025
922,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Yellowing of Mungbean Planst,Suggested to apply Urea and Irrigation,Mobile Adaptation Clinic,23.03.2025
923,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Spices Cultivation,Supply proper irrigation to the plants,Mobile Adaptation Clinic,23.03.2025
924,13.03.2025,Nilganj Adaptation Clinic,Sadarpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,23.03.2025
925,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Aging of Cucumber plants,Supply proper irrigation to the plants,Mobile Adaptation Clinic,26.03.2025
926,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Aging of Cucumber plants,Supply proper irrigation to the plants,Mobile Adaptation Clinic,26.03.2025
927,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
928,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
929,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
930,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
931,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
932,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Fruit fly attack on Bottle gourd,Suggested to use Pheromone Trap and if attack is severe apply Cypermethrin,Mobile Adaptation Clinic,26.03.2025
933,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
934,16.03.2025,Nilganj Adaptation Clinic,Syedpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,26.03.2025
935,17..03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,27.03.2025
936,17..03.2025,Nilganj Adaptation Clinic,Pakhimara,Nilganj,Vegetables cultivation,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,27.03.2025
937,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
938,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
939,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
940,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
941,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
942,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
943,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
944,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
945,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
946,19.03.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,29.03.2025
947,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
948,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
949,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
950,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
951,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
952,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
953,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
954,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
955,20.03.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
956,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
957,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
958,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
959,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
960,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
961,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
962,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
963,20.03.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,30.03.2025
964,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
965,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
966,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
967,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
968,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
969,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
970,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
971,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
972,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
973,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
974,24.03.2025,Nilganj Adaptation Clinic,Haldibariya,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,03.04.2025
975,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
976,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
977,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
978,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
979,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
980,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
981,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
982,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
983,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
984,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
985,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
986,07.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Catterpillar attack on Sunflower leaves,Suggested to Apply Ripcord 10 EC @2ml/L water,Mobile Adaptation Clinic,17.04.2025
987,09.04.2025,Nilganj Adaptation Clinic,Neyamotour,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,19.04.2025
988,09.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,19.04.2025
989,15.04.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,25.04.2025
990,16.04.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,26.04.2025
991,16.04.2025,Nilganj Adaptation Clinic,Dokkin Daulatpur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,26.04.2025
992,17.04.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed
993,22.04.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,02.05.2025
994,23.04.2025,Nilganj Adaptation Clinic,Amirabad,Nilganj,Fish culture,Supply water and feed,Adaptation clinic,03.05.2025
995,23.04.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,03.05.2025
996,24.04.2025,Nilganj Adaptation Clinic,Khalilpur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,04.05.2025
997,24.04.2025,Nilganj Adaptation Clinic,Kumirmara,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Adaptation clinic,04.05.2025
998,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
999,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1000,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1001,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1002,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1003,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1004,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1005,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1006,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1007,27.04.2025,Nilganj Adaptation Clinic,Goiatola,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,7.05.2025
1008,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
1009,30.04.2025,Nilganj Adaptation Clinic,Mostafapur,Nilganj,Land preparaion of Kharif 1 vegetables,3-4 proper ploughing with Tricoderma and after this prepare bed,Mobile Adaptation Clinic,10.05.2025
